Task ID,AI Description,AI Priority,AI Action,AI Notes,AI Group
ID-KBO,Fix album graceful rollover: race resolution happens after new event intro,Mid,Keep Triage,Related to active rollover work; needs sequencing with ID-CDK/ID-FKU,Timings
ID-SCX,Fix misleading red pip on completed emoji shelf with nothing new,Low,TODO,Bug-like behavior; confusing notification; clear fix,Cosmetics
ID-CUU,Standardize showroom default shelf view across all reward types,Low,Merge,Related to ID-SCX (showroom display issues); combine into one cosmetics polish task,Cosmetics
ID-DUE,Audit and standardize gift visuals across game modes,Low,Keep Triage,Scope unclear; needs visual audit across daily treats; minigames; etc.,Cosmetics
ID-CMD,Fix timing gap between tournament bar claim and event activation,Mid,Keep Triage,Missing all metadata; needs investigation of root cause,Tournaments
ID-BUX,Improve gifted sticker visuals with better ribbon/envelope animation,Low,Keep Triage,Missing all metadata; related to active ID-THE (sticker emoji response),Album
ID-RYQ,Differentiate popup types: offers vs comms vs minigame intros vs seasons,Mid,Keep Triage,Systemic UI issue; needs design framework before individual fixes,UI/UX
ID-TAK,Points earned between tournaments should count toward next tournament,Mid,Merge,Same issue as ID-NGF (Tournament Point Escrow); merge into ID-NGF,Tournaments
ID-VCO,Improve board navigation UX for players with 600+ boards,Low,Keep Triage,Missing all metadata; QoL for veterans; needs UX exploration,Other
ID-NGF,Tournament Point Escrow: capture points during gap between tournaments,Mid,TODO,Clear problem + solution; ID-TAK is duplicate — use this as canonical task,Tournaments
ID-FEW,Add new rules/mechanics to MLS event after 3 years of no changes,Low,Keep Triage,Missing all metadata; needs game design exploration,Rolling
ID-MXO,Add more chain reactions in chance cards for base game excitement,Low,Keep Triage,Missing all metadata; needs game design exploration,Rolling
ID-WYX,New shield respawn logic with 10% RTP and conditional pickups,Mid,Discard,Too big — complex game economy redesign; needs its own design epic,Rolling
ID-FSZ,Show 1x multiplier widget in SD/BH instead of empty space,Low,TODO,Simple UI consistency fix; clear problem and solution,SD/BH
ID-VBP,Fix language preference fallback order during FTUE,Low,Keep Triage,Missing most metadata; niche but affects international players,FTUE
ID-BLF,Consider encouraging Facebook profile pics for social presence,Low,Keep Triage,Vague feedback; missing all metadata and group; needs product direction,Social
ID-LJL,Feedback on bankheist/shutdown emotional experience and design,Low,Discard,Not a task — raw brainstorm/feedback with no actionable scope,SD/BH
ID-QXJ,Fix sticker boom triggering at wrong moments causing bad UX,Mid,TODO,Bug causing bad player experience; actionable,Album
ID-XHK,Use target's face in mega heist screen for social meaning,Low,Keep Triage,Missing all metadata; needs design exploration,SD/BH
ID-MMX,Fix pills rendering outside screen boundaries,Mid,TODO,Bug causing terrible UX per description; should be prioritized,UI/UX
ID-KEZ,Fix map inconsistency between burger menu and board change,Low,Keep Triage,Description mentions map 2.0 suggesting broader redesign; needs scoping,UI/UX
ID-ZZX,Allow previewing unowned cosmetics on shelves with acquisition info,Mid,Keep Triage,High risk; needs design for preview UX and acquisition sourcing,Cosmetics
ID-XHN,Context-aware friend recommendations per game mode,Mid,Discard,Too big — needs ML/algorithm design; full feature initiative,Social
ID-RUH,Tournament results during train scene (duplicate ID; no priority),Mid,Discard,⚠️ Duplicate ID of the P2 row above; remove this row and keep the P2 version,Tournaments
